rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
1434,2100,Energy,,64.0,United States,,,Energy,United States,,True,N,M,4/28/1958 0:00,Ghaffarian,Kamal,,4/4/2023 5:01,Florida,South,1958.0,4.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1434,2100,Healthcare,,78.0,United States,,,Healthcare,United Kingdom,,True,E,M,4/25/1944 0:00,Gillings,Dennis,,4/4/2023 5:01,North Carolina,South,1944.0,4.0,25.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1434,2100,Diversified,,65.0,India,,,Diversified,India,,False,E,M,12/10/1957 0:00,Goenka,Harsh,,4/4/2023 5:01,,,1957.0,12.0,10.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1434,2100,Diversified,,62.0,India,,,Diversified,India,,False,D,M,1/29/1961 0:00,Goenka,Sanjiv,,4/4/2023 5:01,,,1961.0,1.0,29.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1434,2100,Real Estate,,67.0,United States,,,Real Estate,United States,,False,D,F,7/29/1955 0:00,Goldman,Jane,,4/4/2023 5:01,New York,Northeast,1955.0,7.0,29.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1434,2100,Fashion & Retail,,66.0,Norway,,,Fashion & Retail,Norway,,True,D,M,7/22/1956 0:00,Hagen,Stein Erik,,4/4/2023 5:01,,,1956.0,7.0,22.0,120.27,2.2,403336363636.0,82.0,100.3,82.8,23.9,36.2,5347896.0,60.472024,8.468946
1434,2100,Real Estate,,56.0,Switzerland,,,Real Estate,Lebanon,,False,E,M,4/26/1966 0:00,Hariri,Bahaa,,4/4/2023 5:01,,,1966.0,4.0,26.0,99.55,0.4,703082435360.0,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
1434,2100,Fashion & Retail,,72.0,Spain,,,Fashion & Retail,Spain,,False,D,F,5/20/1950 0:00,Herrero,Hortensia,,4/4/2023 5:01,,,1950.0,5.0,20.0,110.96,0.7,1394116310769.0,88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922
1434,2100,Diversified,,80.0,Taiwan,,,Diversified,Taiwan,,False,D,M,8/24/1942 0:00,Hsu,Douglas,,4/4/2023 5:01,,,1942.0,8.0,24.0,,,,,,,,,,,
1434,2100,Manufacturing,,49.0,China,,,Manufacturing,China,,True,U,M,7/1/1973 0:00,Huang,Min,,4/4/2023 5:01,,,1973.0,7.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1434,2100,Technology,,40.0,United States,,,Technology,United States,,True,U,M,2/11/1983 0:00,Isaacman,Jared,,4/4/2023 5:01,Pennsylvania,Northeast,1983.0,2.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1434,2100,Technology,,57.0,Russia,,,Technology,Russia,,True,U,M,10/4/1965 0:00,Kaspersky,Eugene,,4/4/2023 5:01,,,1965.0,10.0,4.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
1434,2100,Fashion & Retail,,48.0,Cyprus,,,Fashion & Retail,Russia,,True,R,M,1/3/1975 0:00,Khachatryan,Artem,,4/4/2023 5:01,,,1975.0,1.0,3.0,102.51,0.3,24564647935.0,75.9,99.3,80.8,24.5,22.4,1198575.0,35.126413,33.429859
1434,2100,Food & Beverage,,47.0,Russia,,,Food & Beverage,Russia,,True,N,M,7/25/1975 0:00,Krivenko,Andrei,,4/4/2023 5:01,,,1975.0,7.0,25.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
1434,2100,Real Estate,,71.0,Hong Kong,,,Real Estate,Hong Kong,,False,U,M,10/6/1951 0:00,Kwok,Thomas,,4/4/2023 5:01,,,1951.0,10.0,6.0,,,,,,,,,,,
1434,2100,Manufacturing,,,Hong Kong,,,Manufacturing,Hong Kong,,True,D,F,,Lam,Wai-ying,,4/4/2023 5:01,,,,,,,,,,,,,,,,
1434,2100,Finance & Investments,,62.0,United States,,,Finance & Investments,United States,,True,U,M,9/23/1960 0:00,Lasry,Marc,,4/4/2023 5:01,New York,Northeast,1960.0,9.0,23.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1434,2100,Finance & Investments,,82.0,France,,,Finance & Investments,France,,True,D,M,7/18/1940 0:00,Latouche,Christian,,4/4/2023 5:01,,,1940.0,7.0,18.0,110.05,1.1,2715518274227.0,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
1434,2100,Sports,,67.0,United States,,,Sports,United States,,True,U,M,1/8/1956 0:00,Leonsis,Theodore,,4/4/2023 5:01,Maryland,South,1956.0,1.0,8.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1434,2100,Real Estate,,82.0,Taiwan,,,Real Estate,Taiwan,,False,D,F,8/1/1940 4:00,Lin,Chang Su-O,,4/4/2023 9:01,,,1940.0,8.0,1.0,,,,,,,,,,,
1434,2100,Manufacturing,,60.0,China,,,Manufacturing,China,,True,U,M,7/26/1962 0:00,Liu,Chengyu,,4/4/2023 5:01,,,1962.0,7.0,26.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1434,2100,Fashion & Retail,,49.0,Cyprus,,,Fashion & Retail,Russia,,True,R,M,5/23/1973 0:00,Lomakin,Sergey,,4/4/2023 5:01,,,1973.0,5.0,23.0,102.51,0.3,24564647935.0,75.9,99.3,80.8,24.5,22.4,1198575.0,35.126413,33.429859
1434,2100,Food & Beverage,,54.0,United States,,,Food & Beverage,United States,,True,D,M,9/28/1968 0:00,Lubetzky,Daniel,,4/4/2023 5:01,New York,Northeast,1968.0,9.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1434,2100,Technology,,,China,,,Technology,China,,True,U,F,,Ma,Melissa,,4/4/2023 5:01,,,,,,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1434,2100,Diversified,,67.0,India,,,Diversified,India,,False,U,M,5/1/1955 0:00,Mahindra,Anand,,4/4/2023 5:01,,,1955.0,5.0,1.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1434,2100,Fashion & Retail,,72.0,India,,,Fashion & Retail,India,,False,U,M,10/31/1950 0:00,Malik,Rafique,,4/4/2023 5:01,,,1950.0,10.0,31.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1434,2100,Diversified,,41.0,Sweden,,,Diversified,Sweden,,False,U,F,5/4/1981 0:00,Martinson,Katarina,,4/4/2023 5:01,,,1981.0,5.0,4.0,110.51,1.8,530832908738.0,67.0,126.6,82.5,27.9,49.1,10285453.0,60.128161,18.643501
1434,2100,Healthcare,,70.0,India,,,Healthcare,India,,True,D,F,3/23/1953 0:00,Mazumdar-Shaw,Kiran,,4/4/2023 5:01,,,1953.0,3.0,23.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1434,2100,Automotive,,65.0,India,,,Automotive,India,,False,D,M,11/7/1957 0:00,Minda,Nirmal,,4/4/2023 5:01,,,1957.0,11.0,7.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1434,2100,Technology,,43.0,China,,,Technology,China,,True,D,M,1/1/1980 0:00,Mu,Rongjun,,4/4/2023 5:01,,,1980.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1434,2100,Manufacturing,,80.0,Ireland,,,Manufacturing,Ireland,,True,D,M,6/23/1942 0:00,Murtagh,Eugene,,4/4/2023 5:01,,,1942.0,6.0,23.0,,,,,,,,,,,
1434,2100,Finance & Investments,,60.0,Russia,,,Finance & Investments,Russia,,True,U,M,12/19/1962 0:00,Nesis,Alexander,,4/4/2023 5:01,,,1962.0,12.0,19.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
1434,2100,Manufacturing,,66.0,China,,,Manufacturing,China,,True,U,M,1/18/1957 0:00,Ni,Zugen,,4/4/2023 5:01,,,1957.0,1.0,18.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1434,2100,Construction & Engineering,,76.0,Spain,,,Construction & Engineering,Spain,,True,U,M,3/8/1947 0:00,Perez,Florentino,,4/4/2023 5:01,,,1947.0,3.0,8.0,110.96,0.7,1394116310769.0,88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922
1434,2100,Metals & Mining,,62.0,Ukraine,,,Metals & Mining,Ukraine,,True,U,M,12/14/1960 0:00,Pinchuk,Victor,,4/4/2023 5:01,,,1960.0,12.0,14.0,281.66,7.9,153781069118.0,82.7,99.0,71.6,20.1,45.2,44385155.0,48.379433,31.16558
1434,2100,Technology,,40.0,United States,,,Technology,United States,,True,U,M,5/30/1982 0:00,Radvinsky,Leonid,,4/4/2023 5:01,Florida,South,1982.0,5.0,30.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1434,2100,Technology,,41.0,India,,,Technology,India,,True,D,M,7/6/1981 0:00,Raveendran,Byju,,4/4/2023 5:01,,,1981.0,7.0,6.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1434,2100,Construction & Engineering,,65.0,India,,,Construction & Engineering,India,,True,U,M,8/30/1957 0:00,Reddy,P.P.,,4/4/2023 5:01,,,1957.0,8.0,30.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1434,2100,Fashion & Retail,,41.0,United States,,,Fashion & Retail,United States,,True,U,M,8/6/1981 0:00,Saghian,Richard,,4/4/2023 5:01,California,West,1981.0,8.0,6.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1434,2100,Healthcare,,49.0,China,,,Healthcare,China,,True,U,M,1/1/1974 0:00,Shi,Yifeng,,4/4/2023 5:01,,,1974.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1434,2100,Finance & Investments,,73.0,United Arab Emirates,,,Finance & Investments,Thailand,,True,U,M,7/26/1949 0:00,Shinawatra,Thaksin,,4/4/2023 5:01,,,1949.0,7.0,26.0,114.52,-1.9,421142267938.0,36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818
1434,2100,Food & Beverage,,53.0,Singapore,,,Food & Beverage,Singapore,,True,U,F,,Shu,Ping,,4/4/2023 5:01,,,,,,114.41,0.6,372062527489.0,84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
1434,2100,Healthcare,,75.0,United States,,,Healthcare,United States,,True,E,M,2/23/1948 0:00,Springer,Timothy,,4/4/2023 5:01,Massachusetts,Northeast,1948.0,2.0,23.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1434,2100,Automotive,,70.0,India,,,Automotive,India,,False,U,M,12/11/1952 0:00,Srinivasan,Venu,,4/4/2023 5:01,,,1952.0,12.0,11.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1434,2100,Fashion & Retail,,68.0,United States,,,Fashion & Retail,United States,,True,U,M,12/27/1954 0:00,Stack,Edward,,4/4/2023 5:01,Pennsylvania,Northeast,1954.0,12.0,27.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1434,2100,Food & Beverage,,73.0,China,,,Food & Beverage,China,,True,D,M,3/1/1950 0:00,Sun,Mengquan,,4/4/2023 5:01,,,1950.0,3.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1434,2100,Finance & Investments,,55.0,Russia,,,Finance & Investments,Russia,,True,D,M,2/15/1968 0:00,Svetakov,Alexander,,4/4/2023 5:01,,,1968.0,2.0,15.0,180.75,4.5,1699876578871.0,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
1434,2100,Fashion & Retail,,56.0,Germany,,,Fashion & Retail,Germany,,True,D,M,4/6/1966 0:00,Toeller,Torsten,,4/4/2023 5:01,,,1966.0,4.0,6.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
1434,2100,Food & Beverage,,74.0,United States,,,Food & Beverage,United States,,False,N,F,3/6/1949 0:00,Tyson,Barbara,,4/4/2023 5:01,Arkansas,South,1949.0,3.0,6.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1434,2100,Food & Beverage,,50.0,United States,,,Food & Beverage,Turkey,,True,D,M,10/26/1972 0:00,Ulukaya,Hamdi,,4/4/2023 5:01,New York,Northeast,1972.0,10.0,26.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1434,2100,Construction & Engineering,,54.0,China,,,Construction & Engineering,China,,True,D,M,5/1/1968 0:00,Wang,Linpeng,,4/4/2023 5:01,,,1968.0,5.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1434,2100,Food & Beverage,,69.0,China,,,Food & Beverage,Taiwan,,True,U,M,7/1/1953 0:00,Wei,Ing-Chou,,4/4/2023 5:01,,,1953.0,7.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1434,2100,Food & Beverage,,66.0,Taiwan,,,Food & Beverage,Taiwan,,True,U,M,3/8/1957 0:00,Wei,Yin-Chun,,4/4/2023 5:01,,,1957.0,3.0,8.0,,,,,,,,,,,
1434,2100,Food & Beverage,,64.0,China,,,Food & Beverage,Taiwan,,True,U,M,1/1/1959 0:00,Wei,Yin-Heng,,4/4/2023 5:01,,,1959.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1434,2100,Food & Beverage,,68.0,Taiwan,,,Food & Beverage,Taiwan,,True,U,M,2/4/1955 0:00,Wei,Ying-Chiao,,4/4/2023 5:01,,,1955.0,2.0,4.0,,,,,,,,,,,
1434,2100,Gambling & Casinos,,80.0,United States,,,Gambling & Casinos,United States,,True,U,F,4/28/1942 0:00,Wynn,Elaine,,4/4/2023 5:01,Nevada,West,1942.0,4.0,28.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1434,2100,Automotive,,53.0,China,,,Automotive,China,,True,U,M,3/1/1970 0:00,Xu,Xudong,,4/4/2023 5:01,,,1970.0,3.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1434,2100,Fashion & Retail,,73.0,Hong Kong,,,Fashion & Retail,Hong Kong,,True,U,M,12/1/1949 0:00,Ying,Michael,,4/4/2023 5:01,,,1949.0,12.0,1.0,,,,,,,,,,,
1434,2100,Manufacturing,,57.0,China,,,Manufacturing,China,,True,D,M,11/1/1965 0:00,Yu,Qibing,,4/4/2023 5:01,,,1965.0,11.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1434,2100,Manufacturing,,72.0,China,,,Manufacturing,China,,True,U,M,11/15/1950 0:00,Yuan,Fugen,,4/4/2023 5:01,,,1950.0,11.0,15.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1434,2100,Manufacturing,,49.0,China,,,Manufacturing,Canada,,True,D,F,4/1/1974 0:00,Zhang,Ning,,4/4/2023 5:01,,,1974.0,4.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1434,2100,Healthcare,,57.0,China,,,Healthcare,Singapore,,False,D,M,1/1/1966 0:00,Zhao,Tao,,4/4/2023 5:01,,,1966.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1516,2000,Construction & Engineering,,80.0,India,,,Construction & Engineering,India,,False,U,F,8/1/1942 0:00,Aga,Anu,,4/4/2023 5:01,,,1942.0,8.0,1.0,180.44,7.7,2611000000000.0,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1516,2000,Fashion & Retail,,94.0,United Kingdom,,,Fashion & Retail,Egypt,,True,D,M,1/27/1929 0:00,Al Fayed,Mohamed,,4/4/2023 5:01,,,1929.0,1.0,27.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
1516,2000,Technology,,49.0,United Kingdom,,,Technology,United Kingdom,,True,E,M,2/3/1974 0:00,Andreev,Andrey,,4/4/2023 5:01,,,1974.0,2.0,3.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
1516,2000,Finance & Investments,,77.0,Turks and Caicos Islands,,,Finance & Investments,United Kingdom,,True,D,M,1/1/1946 0:00,Ashcroft,Michael,,4/4/2023 5:01,,,1946.0,1.0,1.0,,,,,,,,,,,
1516,2000,Technology,,62.0,Czech Republic,,,Technology,Czech Republic,,True,D,M,5/15/1960 0:00,Baudis,Pavel,,4/4/2023 5:01,,,1960.0,5.0,15.0,116.48,2.8,246489245495.0,64.1,100.7,79.0,14.9,46.1,10669709.0,49.817492,15.472962
1516,2000,Healthcare,,66.0,Germany,,,Healthcare,Germany,,True,D,M,4/21/1956 0:00,Beier,Wilhelm,,4/4/2023 5:01,,,1956.0,4.0,21.0,112.85,1.4,3845630030824.0,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
1516,2000,Manufacturing,,44.0,China,,,Manufacturing,China,,True,E,M,5/30/1978 0:00,Cao,Jianwei,,4/4/2023 5:01,,,1978.0,5.0,30.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1516,2000,Manufacturing,,52.0,China,,,Manufacturing,China,,True,D,M,7/1/1970 0:00,Chen,Huwen,,4/4/2023 5:01,,,1970.0,7.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1516,2000,Diversified,,71.0,Thailand,,,Diversified,Thailand,,False,U,M,1/1/1952 0:00,Chiaravanont,Phongthep,,4/4/2023 5:01,,,1952.0,1.0,1.0,113.27,0.7,543649976166.0,49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
1516,2000,Diversified,,69.0,China,,,Diversified,China,,True,D,M,5/21/1953 0:00,Dou,Zhenggang,,4/4/2023 5:01,,,1953.0,5.0,21.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1516,2000,Food & Beverage,,88.0,Monaco,,,Food & Beverage,Italy,,False,E,F,1/1/1935 0:00,Fissolo,Maria Franca,,4/4/2023 5:01,,,1935.0,1.0,1.0,,,7184844193.0,,,,,,38964.0,43.7384176,7.4246158
1516,2000,Diversified,,85.0,United States,,,Diversified,United States,,True,D,M,4/15/1937 0:00,Franke,William,,4/4/2023 5:01,Texas,South,1937.0,4.0,15.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1516,2000,Healthcare,,51.0,Monaco,,,Healthcare,Switzerland,,False,D,M,2/26/1972 0:00,Giuliani,Mario Germano,,4/4/2023 5:01,,,1972.0,2.0,26.0,,,7184844193.0,,,,,,38964.0,43.7384176,7.4246158
1516,2000,Real Estate,,68.0,United States,,,Real Estate,United States,,False,D,F,4/19/1954 0:00,Goldman Fowler,Amy,,4/4/2023 5:01,New York,Northeast,1954.0,4.0,19.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1516,2000,Metals & Mining,,47.0,United Kingdom,,,Metals & Mining,Australia,,False,D,M,1/2/1976 0:00,Hancock,John,,4/4/2023 5:01,,,1976.0,1.0,2.0,119.62,1.7,2827113184696.0,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
1516,2000,Technology,,58.0,China,,,Technology,China,,True,D,M,3/6/1965 0:00,Hu,Yangzhong,,4/4/2023 5:01,,,1965.0,3.0,6.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1516,2000,Manufacturing,,62.0,Hong Kong,,,Manufacturing,Hong Kong,,True,D,M,11/1/1960 0:00,Huang,Dawen,,4/4/2023 5:01,,,1960.0,11.0,1.0,,,,,,,,,,,
1516,2000,Media & Entertainment,,64.0,China,,,Media & Entertainment,China,,True,U,M,11/15/1958 0:00,Huang,Qiaoling,,4/4/2023 5:01,,,1958.0,11.0,15.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1516,2000,Finance & Investments,,55.0,United States,,,Finance & Investments,United States,,True,N,M,1/27/1968 0:00,Jain,Rajiv,,4/4/2023 5:01,Florida,South,1968.0,1.0,27.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1516,2000,Sports,,60.0,United States,,,Sports,United States,,True,U,M,2/17/1963 0:00,Jordan,Michael,,4/4/2023 5:01,Florida,South,1963.0,2.0,17.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1516,2000,Real Estate,,77.0,United States,,,Real Estate,United States,,False,D,F,7/21/1945 0:00,Kemper,Diane,,4/4/2023 5:01,New York,Northeast,1945.0,7.0,21.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1516,2000,Technology,,57.0,Israel,,,Technology,Israel,,True,D,M,3/14/1966 0:00,Kramer,Shlomo,,4/4/2023 5:01,,,1966.0,3.0,14.0,108.15,0.8,395098666122.0,63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612
1516,2000,Healthcare,,77.0,Finland,,,Healthcare,Finland,,True,U,M,1/19/1946 0:00,Kyostila,Heikki,,4/4/2023 5:01,,,1946.0,1.0,19.0,112.33,1.0,268761201365.0,88.2,100.2,81.7,20.8,36.6,5520314.0,61.92411,25.748151
1516,2000,Technology,,50.0,Hong Kong,,,Technology,Hong Kong,,True,D,M,4/1/1973 0:00,Lau,Martin,,4/4/2023 5:01,,,1973.0,4.0,1.0,,,,,,,,,,,
1516,2000,Technology,,57.0,China,,,Technology,China,,True,D,M,12/26/1965 0:00,Li,Min,,4/4/2023 5:01,,,1965.0,12.0,26.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1516,2000,Technology,,40.0,China,,,Technology,China,,True,D,M,1/1/1983 0:00,Liang,Rubo,,4/4/2023 5:01,,,1983.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1516,2000,Manufacturing,,58.0,China,,,Manufacturing,China,,False,D,M,1/1/1965 0:00,Liang,Zhaoxian,,4/4/2023 5:01,,,1965.0,1.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1516,2000,Energy,,61.0,China,,,Energy,China,,True,D,M,6/1/1961 0:00,Lin,Fanlian,,4/4/2023 5:01,,,1961.0,6.0,1.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1516,2000,Manufacturing,,64.0,Thailand,,,Manufacturing,India,,False,D,M,11/27/1958 0:00,Lohia,Aloke,,4/4/2023 5:01,,,1958.0,11.0,27.0,113.27,0.7,543649976166.0,49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
1516,2000,Real Estate,,73.0,Canada,,,Real Estate,Canada,,True,U,M,9/8/1949 0:00,Malhotra,Bill,,4/4/2023 5:01,,,1949.0,9.0,8.0,116.76,1.9,1736425629520.0,68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
1516,2000,Finance & Investments,,63.0,Israel,,,Finance & Investments,Russia,,True,D,M,1/29/1960 0:00,Mamut,Alexander,,4/4/2023 5:01,,,1960.0,1.0,29.0,108.15,0.8,395098666122.0,63.4,104.9,82.8,23.1,25.3,9053300.0,31.046051,34.851612
1516,2000,Telecom,,73.0,United States,,,Telecom,United States,,False,D,M,8/11/1949 0:00,McCaw,Craig,,4/4/2023 5:01,Washington,West,1949.0,8.0,11.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1516,2000,Manufacturing,,59.0,China,,,Manufacturing,China,,True,D,M,7/9/1963 0:00,Nan,Cunhui,,4/4/2023 5:01,,,1963.0,7.0,9.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1516,2000,Service,,47.0,China,,,Service,China,,True,D,M,1/24/1976 0:00,Nie,Tengyun,,4/4/2023 5:01,,,1976.0,1.0,24.0,125.08,2.9,19910000000000.0,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1516,2000,Finance & Investments,,75.0,Singapore,,,Finance & Investments,Singapore,,False,U,M,3/21/1948 0:00,Oei,Hong Leong,,4/4/2023 5:01,,,1948.0,3.0,21.0,114.41,0.6,372062527489.0,84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
1516,2000,Metals & Mining,,69.0,Australia,,,Metals & Mining,Australia,,True,D,M,3/26/1954 0:00,Palmer,Clive,,4/4/2023 5:01,,,1954.0,3.0,26.0,119.8,1.6,1392680589329.0,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
1516,2000,Technology,,48.0,United States,,,Technology,United States,,True,D,M,1/1/1975 0:00,Prince,Matthew,,4/4/2023 5:01,Utah,West,1975.0,1.0,1.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1516,2000,Service,,69.0,United States,,,Service,United States,,False,E,F,9/14/1953 0:00,Pritzker,Linda,,4/4/2023 5:01,Montana,West,1953.0,9.0,14.0,117.24,7.5,21427700000000.0,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
